구분,지점명,시범기간 시작일,시범기간 종료일,운영 시작일,위치,데이터기준일,협력기관,비고
1,이마트 성수점,2020-09-25,2021-09-24,2020-09-25,서울특별시 성동구 성수2가1동 뚝섬로 379,2020-12-02,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
2,트레이더스 안성점,2020-09-25,2021-09-24,2020-09-25,경기도 안성시 공도읍 서동대로 3930-39,2020-12-02,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
3,이마트 왕십리,2020-09-25,2021-09-24,2021-01-28,서울특별시 성동구 왕십리광장로 17 ,2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
4,이마트 죽전,2020-09-25,2021-09-24,2021-02-03,경기도 용인시 수지구 포은대로 552,2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
5,이마트 영등포,2020-09-25,2021-09-24,2021-02-04,서울특별시 영등포구 영중로 15,2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
6,트레이더스 송림점,2020-09-25,2021-09-24,2021-02-17,인천광역시 동구 봉수대로 82,2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
7,트레이더스 수원점,2020-09-25,2021-09-24,2021-02-18,경기 수원시 영통구 삼성로 2(신동),2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
8,이마트 은평점,2020-09-25,2021-09-24,2021-02-23,서울특별시 은평구 은평로 111,2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
9,이마트 청계천점,2020-09-25,2021-09-24,2021-05-13,서울특별시 중구 청계천로 400,2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정
10,이마트 자양점 ,2020-09-25,2021-09-24,2021-06-03,서울특별시 광진구 아차산로 272,2021-06-18,"환경부, 환경산업기술원, 이마트, (주)슈가버블",제반사항에 따라 추가 설치 예정

